238,40,Ericsson Danmark A/S
238,77,Telenor Denmark
638,1,Evatis
366,20,Cingular Wireless
366,110,Cable & Wireless Dominica Ltd.
370,1,Orange Dominicana, S.A.
370,2,Compañía Dominicana de Teléfonos, C por
370,3,Tricom S.A.
370,4,Trilogy Dominicana, S.A.
740,0,Otecel S.A. - Bellsouth
740,1,América Móvil
740,2,Telecsa S.A.
602,1,EEMS - Mobinil
602,2,Vodafone Egypt
602,3,Etisalat Egypt
706,1,CTE Telecom Personal, S.A. de C.V.
706,2,Digicel Group
706,3,Telemovil EL Salvador S.A.
706,4,Telefónica Móviles El Salvador
706,10,América Móvil
627,1,Guinea Ecuatorial de Telecomunicaciones Sociedad Anónima
627,3,HiTs EG.SA
248,1,EMT GSM
248,2,Elisa Eesti
248,3,Tele 2 Eesti
248,4,OY Top Connect
248,5,AS Bravocom Mobiil
248,6,OY ViaTel (UMTS)
248,7,Televõrgu AS
248,71,Siseministeerium (Ministry of Interior)
636,1,Ethiopian Telecoms Auth. (ETH MTN)
750,1,Touch
288,1,Faroese Telecom - GSM
288,2,Vodafone Faroe Islands
542,1,Vodafone
542,2,Digicel Fiji
244,3,DNA Oy
244,5,Elisa Oyj
244,7,Nokia test network
244,8,Unknown network/operator
244,9,Finnet Group
244,10,TDC Oy
244,11,Soumen Erillisverkot Oy
244,12,DNA Oy
244,14,Alands Mobiltelefon AB
244,15,Samk student network
244,16,Oy Finland Tele2 AB
244,21,Saunalahti
244,29,Scnl Truphone
244,41,Saunalahti
244,91,TeliaSonera Finland Oyj
208,0,France Telecom
208,1,France Telecom
208,2,France Telecom
208,5,Globalstar Europe
208,6,Globalstar Europe
208,7,Globalstar Europe
208,10,Vivendi
208,11,Vivendi
208,13,Vivendi
208,14,Iliad
208,15,Iliad
208,20,Bouygues Telecom
208,21,Bouygues Telecom
208,88,Bouygues Telecom (Zones Blanches)
742,1,Orange Caribe French Guiana
742,20,Digicel French Guiana
547,0,Digicel Antilles Francaises Guyane
547,1,Orange Caraibe Mobiles
547,2,Outremer Telecom
547,3,Saint Martin et Saint Barthelemy Telcell Sarl
547,8,AMIGO GSM
547,20,Tikiphone
628,1,Gabon Telecom & Libertis S.A.
628,2,Atlantique Télécom (Etisalat Group)
628,3,Celtel Gabon S.A.
628,4,USAN Gabon S.A.
628,5,Réseau de l’Administration Gabonaise
607,1,Gamcel
607,2,Africell
607,3,Comium Services Ltd
607,4,QCell Gambia
282,1,Geocell Ltd.
282,2,Magti GSM Ltd.
282,3,Iberiatel Ltd.
282,4,Beeline
282,5,Sliknet
282,67,Aquafon
282,88,A-Mobile
262,1,T-Mobile Deutschland GmbH
262,2,Vodafone D2 GmbH
262,3,E-Plus Mobilfunk GmbH & Co. KG
262,4,Vodafone D2 GmbH
